,id,foreign,name,lat,long
0,1101,11,KABUPATEN SIMEULUE,2.46158,96.38105
1,1102,11,KABUPATEN ACEH SINGKIL,2.28411,97.79769
2,1103,11,KABUPATEN ACEH SELATAN,3.26142,97.17933
3,1104,11,KABUPATEN ACEH TENGGARA,3.48673,97.81081
4,1105,11,KABUPATEN ACEH TIMUR,4.94789,97.77651
5,1106,11,KABUPATEN ACEH TENGAH,4.63464,96.84219
6,1107,11,KABUPATEN ACEH BARAT,4.14499,96.13576
7,1108,11,KABUPATEN ACEH BESAR,5.29718,95.61156
8,1109,11,KABUPATEN PIDIE,5.3855,95.96064
9,1110,11,KABUPATEN BIREUEN,5.22198,96.71688
10,1111,11,KABUPATEN ACEH UTARA,5.05131,97.3212
11,1112,11,KABUPATEN ACEH BARAT DAYA,3.74322,96.83422
12,1113,11,KABUPATEN GAYO LUES,3.99633,97.34203
13,1114,11,KABUPATEN ACEH TAMIANG,4.33767,98.06355
14,1115,11,KABUPATEN NAGAN RAYA,4.16932,96.32479
15,1116,11,KABUPATEN ACEH JAYA,4.63544,95.58533
16,1117,11,KABUPATEN BENER MERIAH,4.72733,96.86034
17,1118,11,KABUPATEN PIDIE JAYA,5.2288,96.24542
18,1171,11,KOTA BANDA ACEH,5.54794,95.3208
19,1172,11,KOTA SABANG,5.89285,95.32343
20,1173,11,KOTA LANGSA,4.47185,97.9708
21,1174,11,KOTA LHOKSEUMAWE,5.18112,97.14196
22,1175,11,KOTA SUBULUSSALAM,2.67207,97.99863
23,1201,12,KABUPATEN NIAS,1.184,97.71678
24,1202,12,KABUPATEN MANDAILING NATAL,0.85762,99.55128
25,1203,12,KABUPATEN TAPANULI SELATAN,1.61383,99.2638
26,1204,12,KABUPATEN TAPANULI TENGAH,1.68477,98.82859
27,1205,12,KABUPATEN TAPANULI UTARA,2.01208,98.97541
28,1206,12,KABUPATEN TOBA SAMOSIR,2.33548,99.08092
29,1207,12,KABUPATEN LABUHAN BATU,2.07022,99.85752
30,1208,12,KABUPATEN ASAHAN,2.99027,99.6247
31,1209,12,KABUPATEN SIMALUNGUN,2.96527,98.86223
32,1210,12,KABUPATEN DAIRI,2.74462,98.31267
33,1211,12,KABUPATEN KARO,3.10541,98.49853
34,1212,12,KABUPATEN DELI SERDANG,3.56642,98.87351
35,1213,12,KABUPATEN LANGKAT,3.75206,98.45366
36,1214,12,KABUPATEN NIAS SELATAN,0.56867,97.81237
37,1215,12,KABUPATEN HUMBANG HASUNDUTAN,2.25305,98.75239
38,1216,12,KABUPATEN PAKPAK BHARAT,2.55477,98.32467
39,1217,12,KABUPATEN SAMOSIR,2.62443,98.71453
40,1218,12,KABUPATEN SERDANG BEDAGAI,3.49339,99.12746
41,1219,12,KABUPATEN BATU BARA,3.1695,99.42283
